event_id,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_28_to_100cm_mean,soil_temperature_7_to_28cm_mean
586347,0.3220183,0.35320833,0.3127083,0.34354165,70.85476,77.63525,68.953995,75.11149
586349,0.35493913,0.39291668,0.3446666,0.37749997,71.39975,78.159195,69.519196,75.5942
594151,0.32372835,0.34758338,0.31508335,0.34541667,70.93806,77.78796,69.0092,75.26795
586352,0.35493913,0.39291668,0.3446666,0.37749997,70.27655,77.036,68.395996,74.471
586353,0.32927838,0.36195835,0.32133338,0.345625,71.32962,77.98355,69.47479,75.47105
579915,0.39740917,0.44566667,0.37866673,0.44558334,70.76135,77.34485,68.9186,74.88486
597537,0.31719542,0.36954165,0.29716665,0.36841658,71.05681,77.411156,69.16865,75.4124
589644,0.3142579,0.31904167,0.31304163,0.31683338,74.28373,80.9075,72.2525,79.04
586365,0.31844962,0.38533333,0.3000834,0.35912505,72.89128,76.97749,71.509995,76.265
587358,0.3989433,0.34620833,0.4151249,0.36104167,76.196754,83.616356,74.15136,80.73635
587357,0.3989433,0.34620833,0.4151249,0.36104167,76.30205,83.72165,74.25665,80.841644
585312,0.31994167,0.29916665,0.32816672,0.2986667,73.67522,79.52644,71.94771,77.6477
585307,0.31994167,0.29916665,0.32816672,0.2986667,73.72202,79.57325,71.99451,77.6945
586776,0.30459756,0.25449994,0.3169583,0.27891666,72.77581,77.29054,71.4893,75.68179
586777,0.29903874,0.26062495,0.30604157,0.28783333,72.57916,76.070145,71.581406,74.836395
586778,0.30512124,0.26300004,0.3141251,0.28829163,72.86945,76.419044,71.8478,75.18905
586779,0.29076332,0.25283334,0.29812497,0.2781667,73.66805,77.26444,72.636955,76.00445
586780,0.29076332,0.25283334,0.29812497,0.2781667,72.849045,76.44546,71.81795,75.185455
587078,0.3090625,0.26800004,0.31766662,0.29325,73.13825,76.66715,72.13339,75.40715
586806,0.2722992,0.26529166,0.28258336,0.23937498,74.0513,76.89035,73.065346,76.48535
593426,0.38171253,0.43224993,0.37900004,0.37416664,74.76167,76.355896,73.963394,76.967155
609266,0.3857021,0.4005833,0.3823333,0.39229164,54.92964,58.555847,54.18335,56.2796
609268,0.38522708,0.40258333,0.38075006,0.39479163,55.396286,59.0774,54.611153,56.86115
609270,0.38761124,0.40587506,0.38358322,0.39533338,54.507538,58.091904,53.84315,55.59065
609271,0.39439583,0.4072083,0.38987496,0.405625,54.711613,59.19395,53.77895,56.4152
606262,0.48480916,0.46866667,0.4868333,0.48324993,54.541405,59.2529,53.6279,56.1029
607256,0.48929587,0.46845832,0.48979172,0.49454167,54.767525,56.353996,53.968998,56.976498
607257,0.48929587,0.46845832,0.48979172,0.49454167,54.58033,56.1668,53.781803,56.7893
607258,0.42434046,0.43416667,0.41754177,0.44437492,54.5726,56.07785,53.8166,56.662853
612489,0.42501256,0.41949996,0.42504165,0.42674994,54.89296,60.280697,53.30195,58.55195
612490,0.47142792,0.45829168,0.47475004,0.4644167,55.50579,60.939198,53.8817,59.26295
609541,0.42785457,0.4230833,0.42904165,0.42537498,56.6522,56.365105,56.807594,56.2151
609543,0.43142882,0.4215,0.43479165,0.42320833,55.99966,55.36415,56.25665,55.3304
609539,0.35937288,0.35154167,0.35883334,0.36383334,57.502445,58.7099,57.254898,57.948647
610037,0.40570125,0.40337503,0.40258336,0.41716668,44.948524,52.386803,42.7493,50.0093
614625,0.42467785,0.41279164,0.42625,0.42325,43.71635,53.1857,41.1932,49.2107
610050,0.5039651,0.47924995,0.5110001,0.48808336,43.355637,53.023552,41.09105,47.8973
610051,0.42112294,0.41141668,0.42174998,0.42220834,44.631126,54.0638,42.17255,49.9163
620472,0.39456543,0.40041664,0.3973333,0.38312498,51.934513,58.749645,49.72715,57.2309
620474,0.3947438,0.4165,0.39108327,0.40004167,52.33265,58.82525,50.245247,57.32525
620964,0.39844835,0.4068333,0.40058336,0.38833335,51.895588,58.716347,49.675102,57.2351
625665,0.35596296,0.41741666,0.33970836,0.3912084,61.246098,66.656006,59.396,65.786
625670,0.34605587,0.40645838,0.3298333,0.38154164,60.876537,66.5525,58.99625,65.43126
625677,0.34916294,0.3946667,0.34154168,0.36012495,60.772026,66.7757,58.806942,65.5082
629182,0.33160293,0.41941667,0.3020833,0.4035416,60.929337,65.585144,59.6339,63.818897
623516,0.33306295,0.4141667,0.30449995,0.40395835,58.889225,63.5789,57.6014,61.741405
622483,0.39131498,0.413125,0.38079166,0.42012498,58.387028,63.6149,57.161156,60.8474
622238,0.39669457,0.43608332,0.3798333,0.44137502,58.989723,64.20905,57.7103,61.63655
623717,0.44207668,0.47654164,0.4262916,0.4847084,59.979317,63.501804,58.7243,63.10805
623718,0.35386047,0.4134167,0.33025,0.41495833,60.364628,64.19076,59.049507,63.598255
623719,0.35038087,0.4153333,0.32587495,0.41274998,60.073097,63.900352,58.75535,63.315346
630331,0.36539042,0.4006667,0.3590001,0.3755417,61.092613,65.6132,59.67695,64.43945
626571,0.4425108,0.4637083,0.43808332,0.45062497,59.620365,64.3349,58.177395,62.996147
627331,0.44510052,0.4354166,0.44754156,0.43995842,58.479874,64.64915,56.905396,61.82165
626615,0.45673168,0.46541664,0.44562507,0.49191666,62.43856,69.07281,60.747795,66.024055
632950,0.4499358,0.46295834,0.43775013,0.48737502,62.47235,69.2831,60.729347,66.1781
626616,0.4499358,0.46295834,0.43775013,0.48737502,62.65955,69.47031,60.916546,66.36531
626617,0.4499358,0.46295834,0.43775013,0.48737502,62.624447,69.4352,60.881447,66.33021
626618,0.4830033,0.46383333,0.481125,0.4958333,62.51667,69.156204,60.789944,66.2237
626619,0.45433092,0.47383332,0.44166657,0.49125,62.1101,68.34215,60.4784,65.62715
626620,0.48213336,0.45820835,0.48108324,0.49370834,62.943874,69.70535,61.200344,66.66785
624496,0.35695717,0.4065833,0.34654176,0.3761249,59.85013,66.766396,57.871395,64.328896
626622,0.4627796,0.4455833,0.4710835,0.4400417,62.695473,70.429405,60.551907,67.4669
626623,0.46362033,0.43879163,0.4743332,0.4351666,62.8088,70.60505,60.656303,67.59006
630213,0.39080128,0.404875,0.38616666,0.40199986,64.421005,71.9621,62.328346,69.0821
630215,0.35340753,0.37887502,0.350625,0.35445833,64.47537,72.17195,62.324455,69.28445
626624,0.4670492,0.43916664,0.47966662,0.4330834,62.51277,70.25165,60.389153,67.21415
626625,0.46677423,0.45129168,0.4781668,0.43287507,61.706867,69.883255,59.52575,66.4595
626626,0.46677423,0.45129168,0.4781668,0.43287507,61.847263,70.02365,59.666153,66.5999
630217,0.38554713,0.39608333,0.38362503,0.388625,64.5947,72.12635,62.4926,69.29135
626627,0.47374713,0.46683335,0.47958335,0.45604166,63.715816,71.52275,61.577747,68.444
626628,0.47640336,0.46658328,0.48333338,0.45591664,63.431072,71.252304,61.28855,68.1698
627128,0.4174963,0.42925003,0.4136667,0.42670837,61.8227,70.0289,59.637653,66.5789
626629,0.47655132,0.46825,0.48329172,0.45620826,63.749107,71.46335,61.638344,68.4146
627685,0.45235708,0.41008332,0.46591666,0.41995835,67.43607,75.696045,65.1098,72.658554
627686,0.35983205,0.31208333,0.37275007,0.33145836,65.269325,73.05905,63.0953,70.12656
627687,0.35518792,0.30304167,0.36979166,0.3225,65.36772,73.3433,63.11705,70.4258
627690,0.4585246,0.46083328,0.46308324,0.442125,67.82034,74.304955,65.9537,72.0587
627689,0.45607302,0.46041676,0.46124995,0.436875,67.67266,74.169205,65.799194,71.93045
627688,0.4585246,0.46083328,0.46308324,0.442125,68.08944,74.57405,66.2228,72.32779
632683,0.36948752,0.29450002,0.38549995,0.3395833,70.10886,78.5576,67.64135,75.7526
632140,0.40414885,0.35,0.4182917,0.37370837,73.24745,79.597855,71.38159,77.52785
632110,0.28797916,0.27666667,0.29658332,0.26225,67.91397,72.7769,66.43189,71.3744
632112,0.30397627,0.289875,0.31083328,0.28516665,68.85635,73.53545,67.43045,72.18545
