event_id,county_name,deaths_direct,injuries_direct,damage_property_num,damage_crops_num,injuries_indirect,deaths_indirect
586113,LESLIE CO.,0,0,1000,0,0,0
586139,BELL CO.,0,0,1000,0,0,0
586130,FLOYD CO.,0,0,1000,0,0,0
586129,FLOYD CO.,0,0,1000,0,0,0
586138,BELL CO.,0,0,1000,0,0,0
586133,KNOTT CO.,0,0,1000,0,0,0
586136,KNOTT CO.,0,0,1000,0,0,0
586141,MCCREARY CO.,0,0,1000,0,0,0
586135,LESLIE CO.,0,0,1000,0,0,0
586346,ROWAN CO.,0,0,1000,0,0,0
586347,FLEMING CO.,0,0,1000,0,0,0
586349,ROWAN CO.,0,0,1000,0,0,0
594151,MASON CO.,0,0,8000,0,0,0
586352,ROWAN CO.,0,0,1000,0,0,0
586353,FLEMING CO.,0,0,1000,0,0,0
579915,LAWRENCE CO.,0,0,450000,0,0,0
597537,ELLIOTT CO.,0,0,1000,0,0,0
589644,MARION CO.,0,0,0,0,0,0
586365,ROCKCASTLE CO.,0,0,1000,0,0,0
587358,TRIGG CO.,0,0,0,0,0,0
587357,CALDWELL CO.,1,0,80000,0,0,0
585312,HARRISON CO.,0,0,0,0,0,0
585307,HARRISON CO.,0,0,0,0,0,0
586776,ROWAN CO.,0,0,1000,0,0,0
586777,MONTGOMERY CO.,0,0,50000,0,0,0
586778,BATH CO.,0,0,1000,0,0,0
586779,BATH CO.,0,0,1000,0,0,0
586780,BATH CO.,0,0,1000,0,0,0
587078,BOURBON CO.,0,0,0,0,0,0
586806,BELL CO.,0,0,1000,0,0,0
593426,CALDWELL CO.,0,0,3000,0,0,0
609266,MARSHALL CO.,0,0,50000,0,0,0
609268,CALLOWAY CO.,0,0,25000,0,0,0
609270,MCCRACKEN CO.,0,0,0,0,0,0
609271,HOPKINS CO.,0,0,0,0,0,0
606262,BUTLER CO.,0,0,75000,0,0,0
607256,CARTER CO.,0,0,15000,0,0,0
607257,BOYD CO.,0,0,10000,0,0,0
607258,LAWRENCE CO.,0,0,10000,0,0,0
612489,BELL CO.,0,0,1000,0,0,0
612490,KNOX CO.,0,0,1000,0,0,0
