event_id,maxtemp_f,mintemp_f,avgtemp_f,maxwind_mph,totalprecip_in,avgvis_miles,avghumidity,uv,daily_will_it_rain,daily_chance_of_rain,condition_text
597534,87.1,67.6,76.7,8.1,0.03,5.0,87,9.5,1,100,Patchy rain possible
584300,88.4,69.7,77.5,9.8,1.68,5.0,82,10.0,1,100,Moderate or heavy rain shower
584304,88.9,71.2,78.4,13.4,1.33,4.0,81,10.1,1,100,Moderate or heavy rain shower
584310,88.9,69.1,78.1,11.9,1.77,5.0,81,10.6,1,100,Moderate or heavy rain shower
584312,88.9,69.1,78.1,11.9,1.77,5.0,81,10.6,1,100,Moderate or heavy rain shower
590159,88.9,69.1,78.1,11.9,1.77,5.0,81,10.6,1,100,Moderate or heavy rain shower
584319,89.1,70.4,78.3,10.1,0.87,5.0,82,10.0,1,100,Moderate or heavy rain shower
584322,88.9,69.1,78.1,11.9,1.77,5.0,81,10.6,1,100,Moderate or heavy rain shower
590165,88.9,69.1,78.1,11.9,1.77,5.0,81,10.6,1,100,Moderate or heavy rain shower
584998,90.5,70.7,79.3,11.9,0.26,5.0,81,10.0,1,100,Heavy rain at times
584999,89.0,70.6,78.7,9.6,0.91,5.0,82,10.6,1,100,Moderate or heavy rain shower
585000,91.9,71.0,79.8,12.1,0.09,5.0,80,10.4,1,100,Moderate rain at times
585004,90.3,70.6,79.1,11.0,0.26,5.0,81,11.1,1,100,Heavy rain at times
585007,90.7,71.4,79.2,9.6,0.09,5.0,81,11.7,1,100,Moderate rain at times
585011,90.0,71.7,79.5,9.4,0.05,5.0,84,11.9,1,100,Patchy rain possible
585012,85.5,70.6,77.2,11.0,0.98,5.0,87,10.0,1,100,Moderate or heavy rain shower
586021,84.3,69.3,75.9,14.1,0.43,5.0,87,8.0,1,100,Moderate or heavy rain shower
585013,86.5,70.7,77.6,10.1,0.73,5.0,87,10.9,1,100,Moderate or heavy rain shower
585015,87.1,70.5,77.7,10.7,0.84,5.0,85,11.3,1,100,Moderate or heavy rain shower
586023,82.9,69.8,76.0,10.1,0.09,4.0,91,10.3,1,100,Moderate rain at times
586024,83.8,69.7,75.5,11.0,0.3,4.0,90,12.7,1,100,Moderate or heavy rain shower
597536,83.8,69.7,75.5,11.0,0.3,4.0,90,12.7,1,100,Moderate or heavy rain shower
586025,85.8,69.2,76.6,11.6,0.51,5.0,91,10.0,1,100,Moderate or heavy rain shower
586031,85.1,73.1,77.9,11.0,0.15,5.0,86,11.0,1,100,Heavy rain at times
